char,radical,ohaeng,huneum,strokes
峰,山,土,멧부리 봉,10
峴,山,土,고개 현,10
島,山,土,섬 도,10
峻,山,土,높을 준,10
峽,山,土,골짜기 협,10
崂,山,土,- 로,10
崃,山,土,- 래,10
崆,山,土,산이름 공,11
崇,山,土,높을 숭,11
崎,山,土,험할 기,11
崑,山,土,산이름 곤,11
崒,山,土,산높을 줄,11
崔,山,土,성(姓) 최,11
崖,山,土,언덕 애,11
崗,山,土,언덕 강,11
崙,山,土,산이름 륜,11
崛,山,土,산 높을 굴,11
崞,山,土,- 곽,11
崢,山,土,가파를 쟁,11
崤,山,土,산 이름 효,11
崦,山,土,해 지는 산 이름 엄,11
崧,山,土,산높을 숭,11
崩,山,土,무너질 붕,11
崭,山,土,- 참,11
崮,山,土,- 고,11
崴,山,土,평평치 아니할 외,12
崽,山,土,자식 재,12
崾,山,土,- 요,12
嵇,山,土,- 혜,12
嵊,山,土,- 승,13
嵋,山,土,산이름 미,12
嵌,山,土,끼울 감,12
嵐,山,土,아지랑이 람,12
嵒,山,土,바위 암,12
嵘,山,土,- 영,12
嵛,山,土,- 유,12
嵝,山,土,- 루,12
嵞,山,土,- 도,13
嵩,山,土,산높을 숭,13
嵫,山,土,- 자,12
嵬,山,土,높을 외,13
嵯,山,土,산높고험할 차,13
嵴,山,土,- 척,13
嶂,山,土,높고 가파른 산 장,14
嶄,山,土,높을 참,14
嶇,山,土,험할 구,14
嶗,山,土,- 로,15
嶙,山,土,가파를 린,15
嶝,山,土,고개 등,15
嶡,山,土,- 궐,15
嶧,山,土,산이름 역,16
嶪,山,土,산높을 업,16
嶷,山,土,숙성할 억,17
嶸,山,土,산가파를 영,17
嶺,山,土,고개 령,17
嶼,山,土,섬 서,17
嶽,山,土,큰산[岳] 악,17
巂,山,土,- 휴,18
巅,山,土,- 전,19
巆,山,土,- 영,20
巍,山,土,높고클 외,21
巒,山,土,멧부리 만,22
巔,山,土,산꼭대기 전,22
巖,山,土,바위 암,23
巛,巛,水,- 천,3
川,川,水,내 천,3
州,川,水,고을 주,6
巠,巛,水,- 경,7
巡,巛,水,돌[廻] 순,7
巢,巛,水,새집 소,11
巤,巛,水,- 렵,15
工,工,土,장인 공,3
左,工,土,왼 좌,5
巧,工,土,공교할 교,5
巨,匚,金,클 거,5
巫,工,土,무당 무,7
差,工,土,다를 차,10
巯,工,土,- 구,12
己,己,土,몸 기,3
已,己,土,이미 이,3
巳,巳,水,뱀 사,3
巴,巳,水,꼬리 파,4
巵,巳,水,잔 치,7
巷,巳,水,거리 항,9
巸,巳,水,- 이,10
巹,己,土,받들 근,9
巽,巳,水,부드러울 손,12
巾,巾,木,수건 건,3
巿,巾,木,슬갑 불,4
帀,巾,木,- 잡,4
币,巾,木,- 잡,4
市,巾,木,저자 시,5
布,巾,木,베 포,5
帅,巾,木,- 수,5
帆,巾,木,돛 범,6
希,巾,木,바랄 희,7
帏,巾,木,- 위,7
帐,巾,木,- 장,7
帑,巾,木,국고 탕,8
帔,巾,木,- 피,8
帕,巾,木,머리띠 말,8
帖,巾,木,문서 첩,8
帘,巾,木,주막기 렴,8
帙,巾,木,책권차례 질,8
帚,巾,木,비 추,8
帛,巾,木,비단 백,8
帜,巾,木,- 치,8
帝,巾,木,임금 제,9
帥,巾,木,장수 수,9
帧,巾,木,- 정,9
師,巾,木,스승 사,10
席,巾,木,자리 석,10
帮,巾,木,- 방,10
帱,巾,木,- 주,10
帳,巾,木,장막 장,11
帶,巾,木,띠 대,11
帷,巾,木,휘장 유,11
常,巾,木,떳떳할 상,11
帻,巾,木,- 책,11
帼,巾,木,- 괵,11
帽,巾,木,모자 모,12
幀,巾,木,그림족자 정,12
幂,冖,水,- 멱,12
幃,巾,木,향낭 위,12
幄,巾,木,장막(帳幕) 악,12
幅,巾,木,폭 폭,12
幌,巾,木,휘장 황,13
幔,巾,木,막 만,14
幕,巾,木,장막 막,14
幗,巾,木,- 괵,14
幛,巾,木,- 장,14
幞,巾,木,건 복,15
幟,巾,木,기(旗) 치,15
幡,巾,木,기 번,15
幢,巾,木,기 당,15
幣,巾,木,화폐 폐,15
幫,巾,木,도울 방,17
幬,巾,木,휘장 주,17
干,十,土,방패 간,3
平,广,土,평평할 평,5
年,干,木,해 년,6
并,干,木,아우를 병,6
幸,干,木,다행 행,8
幹,干,木,줄기 간,13
幺,幺,木,작을 요,3
幻,幺,木,헛보일 환,4
幼,幺,木,어릴 유,5
幽,幺,木,그윽할 유,9
幾,幺,木,몇 기,12
广,广,土,바윗집 엄,3
庀,广,土,- 비,5
庄,广,土,전장(田莊) 장,6
庆,广,土,- 경,6
庇,广,土,덮을 비,7
床,广,土,상 상,7
庋,广,土,시렁 기,7
序,广,土,차례 서,7
庑,广,土,- 무,7
库,广,土,- 고,7
底,广,土,밑 저,8
庖,广,土,부엌 포,8
店,广,土,가게 점,8
庙,广,土,- 묘,8
庚,广,土,별 경,8
府,广,土,마을[官廳] 부,8
庞,广,土,- 방,8
废,广,土,- 폐,8
庠,广,土,학교 상,9
庥,广,土,- 휴,9
度,广,土,법도 도,9
座,广,土,자리 좌,10
庫,广,土,곳집 고,10
庭,广,土,뜰 정,10
庳,广,土,낮을 비,11
庵,广,土,암자 암,11
庶,广,土,여러 서,11
康,广,土,편안 강,11
庸,广,土,떳떳할 용,11
庹,广,土,- 탁,11
庾,广,土,곳집 유,11
廁,广,土,뒷간 측,12
廂,广,土,곁채 상,12
廄,广,土,마구간 구,12
廈,广,土,큰집 하,13
廉,广,土,청렴할 렴,13
廊,广,土,사랑채 랑,13
廌,鹿,土,- 치,13
廑,广,土,작은집 근,14
廒,广,土,- 오,14
廓,广,土,둘레 곽,14
廖,广,土,공허할 료,14
廚,广,土,부엌 주,15
廛,广,土,가게 전,15
廝,广,土,부릴 시,15
廟,广,土,사당 묘,15
廠,广,土,공장 창,15
廡,广,土,행랑 무,15
廢,广,土,폐할 폐,15
廣,广,土,넓을 광,15
廥,广,土,여물광 괴,16
廨,广,土,관청 해,16
廩,广,土,쌀곳간 름,16
廪,广,土,- 름,16
廬,广,土,농막(農幕)집 려,19
廳,广,土,관청 청,25
廴,廴,木,- 인,3
延,廴,木,늘일 연,7
廷,廴,木,조정 정,7
建,廴,木,세울 건,9
廾,廾,木,- 공,3
廿,廾,木,스물 입,4
弁,廾,木,고깔 변,5
异,廾,木,그만둘 이,6
弃,廾,木,버릴 기,7
弄,廾,木,희롱할 롱,7
弇,廾,木,뚜껑 감,9
弈,廾,木,바둑둘 혁,9
弊,廾,木,폐단 폐,15
弋,弋,木,주살 익,3
式,弋,木,법 식,6
弑,弋,木,윗사람죽일 시,12
弒,弋,木,윗사람 죽일 시,13
弓,弓,木,활 궁,3
弔,弓,木,조상할 조,4
引,弓,木,끌 인,4
弗,弓,木,아닐 불,5
弘,弓,木,클 홍,5
弛,弓,木,늦출 이,6
弟,弓,木,아우 제,7
弥,弓,木,미륵 미,8
弦,弓,木,시위 현,8
弧,弓,木,활 호,8
弩,弓,木,쇠뇌 노,8
弪,弓,木,- 경,8
弭,弓,木,활고자 미,9
弮,弓,木,- 환,9
弯,弓,木,- 만,9
弱,弓,木,약할 약,10
弳,弓,木,- 경,10
張,弓,木,베풀 장,11
強,弓,木,강할 강,11
弹,弓,木,탄알 탄,11
强,弓,木,강할[強] 강,12
弼,弓,木,도울 필,12
彀,弓,木,활당길 구,13
彆,弓,木,활 뒤틀릴 별,14
彈,弓,木,탄알 탄,15
彊,弓,木,굳셀 강,16
彌,弓,木,미륵 미,17
彎,弓,木,굽을 만,22
彐,彐,水,- 계,3
彑,彑,水,- 계,3
彔,彑,水,새길 록,8
彖,彑,水,판단할 단,9
彗,彐,水,살별 혜,11
彘,彑,水,돼지 체,12
彙,彑,水,무리 휘,13
彝,彑,水,떳떳할 이,18
彞,彐,水,떳떳할 이,18
彟,彐,水,- 확,19
彡,彡,火,- 삼,3
形,彡,火,모양 형,7
彤,彡,火,붉은칠할 동,7
彥,彡,火,착한 선비 언,9
彦,彡,火,선비 언,9
彧,彡,火,문채 욱,10
彩,彡,火,채색 채,11
彪,彡,火,범 표,11
彬,彡,火,빛날 빈,11
彭,彡,火,성(姓) 팽,12
彰,彡,火,드러날 창,14
影,彡,火,그림자 영,15
彳,彳,木,- 척,3
彷,彳,木,헤맬 방,7
彸,彳,木,- 송,7
役,彳,木,부릴 역,7
彻,彳,木,- 철,7
彼,彳,木,저 피,8
彿,彳,木,비슷할 불,8
往,彳,木,갈 왕,8
征,彳,木,칠 정,8
徂,彳,木,갈 조,8
径,彳,木,통할 경,8
待,彳,木,기다릴 대,9
徇,彳,木,부릴 순,9
很,彳,木,패려궂을 흔,9
徉,彳,木,배회할 양,9
徊,彳,木,머뭇거릴 회,9
律,彳,木,법칙 률,9
後,彳,木,뒤 후,9
徐,彳,木,천천할 서,10
徑,彳,木,지름길 경,10
徒,彳,木,무리 도,10
徕,彳,木,- 래,10
得,彳,木,얻을 득,11
徘,彳,木,어정거릴 배,11
徙,彳,木,옮길 사,11
徜,彳,木,노닐 상,11
從,彳,木,좇을 종,11
徠,彳,木,올 래,11
御,彳,木,거느릴 어,11
徨,彳,木,헤맬 황,12
復,彳,木,회복할 복,12
循,彳,木,돌[環] 순,12
徭,彳,木,구실 요,13
微,彳,木,작을 미,13
徯,彳,木,기다릴 혜,13
徴,彳,木,부를 징,14
徵,彳,木,부를 징,15
德,彳,木,큰 덕,15
徹,彳,木,통할 철,15
徼,彳,木,구할 요,16
徽,彳,木,아름다울 휘,17
心,心,火,마음 심,4
忄,忄,火,- 심,3
必,心,火,반드시 필,5
忆,忄,火,- 억,4
忉,忄,火,근심할 도,5
忌,心,火,꺼릴 기,7
忍,心,火,참을 인,7
忏,忄,火,- 천,6
忐,心,火,마을 허할 탐,7
忑,心,火,- 특,7
忒,心,火,변할 특,7
忕,忄,火,- 태,6
忖,忄,火,헤아릴 촌,6
志,心,火,뜻 지,7
忘,心,火,잊을 망,7
忙,忄,火,바쁠 망,6
忝,⺗,火,욕될 첨,8
忞,心,火,힘쓸 민,8
忠,心,火,충성 충,8
忡,忄,火,근심할 충,7
忤,忄,火,거스를 오,7
忪,忄,火,- 종,7
快,忄,火,쾌할 쾌,7
忭,忄,火,기뻐할 변,7
忮,忄,火,사나울 기,7
忱,忄,火,정성 침,7
念,心,火,생각 념,8
忸,忄,火,익을 뉴,7
忻,忄,火,기뻐할 흔,7
忽,心,火,갑자기 홀,8
忾,忄,火,- 히,7
忿,心,火,성낼 분,8
怀,忄,火,- 부,7
怂,心,火,- 종,8
怃,忄,火,- 무,7
怄,忄,火,- 우,7
怅,忄,火,- 창,7
怆,忄,火,- 창,7
怊,忄,火,슬퍼할 초,8
怍,忄,火,부끄러울 작,8
怎,心,火,- 즘,9
怏,忄,火,원망할 앙,8
怒,心,火,성낼 노,9
怔,忄,火,황겁할 정,8
怕,忄,火,두려울 파,8
怖,忄,火,두려워할 포,8
怙,忄,火,믿을 호,8
怛,忄,火,슬플 달,8
怜,忄,火,영리할 령,8
思,心,火,생각 사,9
怠,心,火,게으를 태,9
怡,忄,火,기쁠 이,8
急,心,火,급할 급,9
怦,忄,火,맘 급할 평,8
性,忄,火,성품 성,8
怨,心,火,원망할 원,9
怩,忄,火,부끄러워할 니,8
怪,忄,火,괴이할 괴,8
怫,忄,火,- 불,8
怯,忄,火,겁낼 겁,8
怱,心,火,바쁠 총,9
怵,忄,火,두려울 출,8
怼,心,火,- 대,9
怿,忄,火,- 역,8
恁,心,火,생각할 임,10
恂,忄,火,미쁠 순,9
恃,忄,火,믿을 시,9
恆,忄,火,항상 항,9
恋,心,火,그리워할 련,10
恍,忄,火,황홀할 황,9
恐,心,火,두려울 공,10
恒,忄,火,항상 항,9
恓,忄,火,- 서,9
恕,心,火,용서할 서,10
恙,心,火,병 양,10
恚,心,火,성낼 에,10
恝,心,火,괄시할 괄,10
恢,忄,火,넓을 회,9
恣,心,火,마음대로 자,10
恤,忄,火,불쌍할 휼,9
恥,心,火,부끄러울 치,10
恧,心,火,- 뉵,10
恨,忄,火,한[怨] 한,9
恩,心,火,은혜 은,10
恪,忄,火,삼갈 각,9
恫,忄,火,슬플 통,9
恬,忄,火,편안할 념,9
恭,⺗,火,공손할 공,10
息,心,火,쉴 식,10
恰,忄,火,흡사할 흡,9
恳,心,火,- 간,10
恶,心,火,- 악,10
恸,忄,火,- 통,9
恹,忄,火,- 염,9
恺,忄,火,- 개,9
恻,忄,火,- 측,9
恼,忄,火,- 뇌,9
恽,忄,火,- 운,9
恿,心,火,- 용,11
悃,忄,火,정성 곤,10
悄,忄,火,근심할 초,10
悅,忄,火,기쁠 열,10
悉,心,火,다 실,11
悌,忄,火,공손할 제,10
悍,忄,火,사나울 한,10
悒,忄,火,답답할 읍,10
悔,忄,火,뉘우칠 회,10
悖,忄,火,거스를 패,10
悚,忄,火,두려울 송,10
悛,忄,火,고칠 전,10
悝,忄,火,- 리,10
悟,忄,火,깨달을 오,10
悠,心,火,멀 유,11
患,心,火,근심 환,11
悤,心,火,바쁠 총,11
悦,忄,火,기쁠 열,10
悧,忄,火,영리할 리,10
您,心,火,- 니,11
悫,心,火,- 각,11
悬,心,火,- 현,11
悭,忄,火,- 간,10
悯,忄,火,- 민,10
悱,忄,火,분할 비,11
悲,心,火,슬플 비,12
悴,忄,火,파리할 췌,11
悵,忄,火,슬플 창,11
悶,心,火,답답할 민,12
悸,忄,火,두근거릴 계,11
悻,忄,火,발끈성낼 행,11
悼,忄,火,슬퍼할 도,11
悽,忄,火,슬퍼할 처,11
情,忄,火,뜻 정,11
惆,忄,火,실심할 추,11
惊,忄,火,- 량,11
惋,忄,火,한탄할 완,11
惑,心,火,미혹할 혹,12
惓,忄,火,삼갈 권,11
惕,忄,火,두려워할 척,11
惘,忄,火,멍할 망,11
惙,忄,火,근심할 철,11
惚,忄,火,황홀할 홀,11
惛,忄,火,흐릴 혼,11
惜,忄,火,아낄 석,11
惝,忄,火,멍할 창,11
惟,忄,火,생각할 유,11
惠,心,火,은혜 혜,12
惡,心,火,악할 악,12
惢,心,火,의심낼 솨,12
惦,忄,火,- 점,11
惧,忄,火,- 구,11
惨,忄,火,참혹할 참,11
惩,心,火,- 징,12
惫,夂,水,- 비,12
惬,忄,火,- 협,11
惭,忄,火,- 참,11
惮,忄,火,- 탄,11
惯,忄,火,- 관,11
惰,忄,火,게으를 타,12
惱,忄,火,번뇌할 뇌,12
想,心,火,생각 상,13
惴,忄,火,두려워할 췌,12
惶,忄,火,두려울 황,12
惹,心,火,이끌 야,13
惺,忄,火,깨달을 성,12
惻,忄,火,슬플 측,12
愀,忄,火,정색할 초,12
愁,心,火,근심 수,13
愆,心,火,허물 건,13
愈,心,火,나을 유,13
愉,忄,火,즐거울 유,12
愍,心,火,슬퍼할 민,13
愎,忄,火,강퍅할 퍅,12
意,心,火,뜻 의,13
愕,忄,火,놀랄 악,12
愚,心,火,어리석을 우,13
愛,心,火,사랑 애,13
愜,忄,火,쾌할 협,12
感,心,火,느낄 감,13
愠,忄,火,성낼 온,12
愣,忄,火,- 릉,12
愤,忄,火,- 분,12
愦,忄,火,- 궤,12
愧,忄,火,부끄러울 괴,13
愫,忄,火,정성 소,13
愴,忄,火,슬플 창,13
愷,忄,火,즐거울 개,13
愾,忄,火,성낼 개,13
愿,心,火,삼갈 원,14
慄,忄,火,떨릴 률,13
慈,心,火,사랑 자,13
慊,忄,火,앙심먹을 겸,13
態,心,火,모습 태,14
慌,忄,火,어리둥절할 황,13
慍,忄,火,성낼 온,13
慎,忄,火,- 신,13
慑,忄,火,- 섭,13
慕,⺗,火,그릴 모,15
慘,忄,火,참혹할 참,14
慚,忄,火,부끄러울 참,14
慝,心,火,사특할 특,15
慟,忄,火,서러워할 통,14
慢,忄,火,거만할 만,14
慣,忄,火,익숙할 관,14
慧,心,火,슬기로울 혜,15
慨,忄,火,슬퍼할 개,14
慪,忄,火,- 우,14
慫,心,火,권할 종,15
慮,心,火,생각할 려,15
慰,心,火,위로할 위,15
慳,忄,火,아낄 간,14
慴,忄,火,두려워할 습,14
慵,忄,火,게으를 용,14
慶,心,火,경사 경,15
慷,忄,火,슬플 강,14
慼,心,火,근심할 척,15
慾,心,火,욕심 욕,15
憂,心,火,근심 우,15
憊,心,火,고단할 비,16
憋,心,火,악할 별,15
憎,忄,火,미울 증,15
憐,忄,火,불쌍히여길 련,15
憑,心,火,비길[依] 빙,16
憔,忄,火,파리할 초,15
憚,忄,火,꺼릴 탄,15
憝,心,火,원망할 대,16
憤,忄,火,분할 분,15
憧,忄,火,동경할 동,15
憨,心,火,어리석을 감,16
憩,心,火,쉴 게,16
憫,忄,火,민망할 민,15
憬,忄,火,깨달을 경,15
憲,心,火,법 헌,16
憶,忄,火,생각할 억,16
憷,忄,火,- 초,16
憹,忄,火,- 뇌,16
憾,忄,火,섭섭할 감,16
懂,忄,火,- 동,16
懇,心,火,간절할 간,17
懈,忄,火,게으를 해,16
應,心,火,응할 응,17
懊,忄,火,한할 오,16
懋,心,火,힘쓸 무,17
懑,心,火,- 문,17
懒,忄,火,- 라,16
懔,忄,火,- 름,16
懞,忄,火,어두울 몽,17
懟,心,火,원망할 대,18
懣,心,火,번거로울 문,18
懦,忄,火,나약할 나,17
懨,忄,火,- 염,17
懮,忄,火,근심할 우,18
懲,心,火,징계할 징,19
懵,忄,火,- 몽,19
懶,忄,火,게으를 라,19
懷,忄,火,품을 회,19
懸,心,火,달[繫] 현,20
懺,忄,火,뉘우칠 참,20
懼,忄,火,두려워할 구,21
懾,忄,火,무서울 섭,21
懿,心,火,아름다울 의,22
戀,心,火,그리워할 련,23
戆,心,火,- 당,25
戇,心,火,어리석을 당,28
戈,戈,金,창 과,4
戉,戈,金,- 월,5
戊,戈,金,천간 무,5
戋,戈,金,- 잔,5
戌,戈,金,개 술,6
戍,戈,金,수자리 수,6
戎,戈,金,병장기 융,6
戏,戈,金,- 희,6
成,戈,金,이룰 성,7
我,戈,金,나 아,7
戒,戈,金,경계할 계,7
戔,戈,金,쌓일 잔,8
戕,戈,金,찌를 장,8
或,戈,金,혹 혹,8
戗,戈,金,- 창,8
战,戈,金,- 전,9
戚,戈,金,친척 척,11
戛,戈,金,창 알,11
戜,戈,金,- 질,11
戟,戈,金,창 극,12
戠,戈,金,- 시,13
戡,戈,金,이길 감,13
戢,戈,金,거둘 즙,13
戤,戈,金,- 개,13
戥,戈,金,- 등,13
戧,戈,金,다칠 창,14
截,戈,金,끊을 절,14
戬,戈,金,- 전,14
戮,戈,金,죽일 륙,15
戰,戈,金,싸움 전,16
戲,戈,金,놀이 희,17
戳,戈,金,창으로 찌를 착,18
戴,戈,金,일[首荷] 대,17
戶,户,木,집 호,4
户,户,木,집 호,4
戽,户,木,- 호,8
戾,户,木,어그러질 려,8
房,户,木,방 방,8
所,户,木,바 소,8
扁,户,木,작을 편,9
扂,户,木,- 점,9
扃,户,木,빗장 경,9
扆,户,木,병풍 의,10
扇,户,木,부채 선,10
扈,户,木,따를 호,11
扉,户,木,사립문 비,12
手,手,木,손 수,4
扌,扌,木,- 수,3
才,扌,木,재주 재,3
扎,扌,木,뽑을 찰,4
扑,扌,木,칠 복,5
扒,扌,木,뺄 배,5
打,扌,木,칠 타,5
扔,扌,木,- 잉,5
払,扌,木,떨칠 불,5
托,扌,木,맡길 탁,6
扛,扌,木,마주 들 강,6
扢,扌,木,- 흘,6
扣,扌,木,두드릴 구,6
扦,扌,木,- 천,6
执,扌,木,- 집,6
扩,扌,木,- 확,6
扪,扌,木,- 문,6
扫,扌,木,- 소,6
扬,扌,木,- 양,7
扭,扌,木,- 뉴,7
扮,扌,木,꾸밀 분,7
扯,扌,木,찢어버릴 차,7
扰,扌,木,- 우,7
扳,扌,木,끌 반,7
扶,扌,木,도울 부,7
批,扌,木,비평할 비,7
扼,扌,木,잡을 액,7
找,扌,木,채울 조,7
承,手,木,이을 승,8
技,扌,木,재주 기,7
抃,扌,木,손뼉칠 변,7
抄,扌,木,뽑을 초,7
抉,扌,木,도려낼 결,7
把,扌,木,잡을 파,7
抑,扌,木,누를 억,7
抒,扌,木,풀 서,7
抓,扌,木,긁을 조,7
投,扌,木,던질 투,7
抖,扌,木,퍼주거릴 두,7
抗,扌,木,겨룰 항,7
折,扌,木,꺾을 절,7
抚,扌,木,- 무,7
抛,扌,木,던질 포,7
抟,扌,木,- 단,7
抠,扌,木,- 구,7
抡,扌,木,- 륜,7
抢,扌,木,- 창,7
护,扌,木,- 호,7
抨,扌,木,탄핵할 평,8
披,扌,木,헤칠 피,8
抬,扌,木,칠 태,8
抱,扌,木,안을 포,8
抵,扌,木,막을[抗] 저,8
抹,扌,木,지울 말,8
抻,扌,木,- 신,8
押,扌,木,누를 압,8
抽,扌,木,뽑을 추,8
抿,扌,木,- 민,8
拂,扌,木,떨칠 불,8
拄,扌,木,떠받칠 주,8
拆,扌,木,터질 탁,8
拇,扌,木,엄지손가락 무,8
拈,扌,木,집을 념,8
拉,扌,木,끌 랍,8
拊,扌,木,어루만질 부,8
拋,扌,木,던질 포,8
拌,扌,木,버릴 반,8
拍,扌,木,칠 박,8
拎,扌,木,- 령,8
拐,扌,木,후릴 괴,8
拑,扌,木,자갈 먹일 겸,8
拒,扌,木,막을 거,8
拓,扌,木,넓힐 척,8
拔,扌,木,뽑을 발,8
拖,扌,木,끌 타,8
拗,扌,木,우길 요,8
拘,扌,木,잡을 구,8
拙,扌,木,졸할 졸,8
拚,扌,木,- 변,8
招,扌,木,부를 초,8
拜,手,木,절 배,9
拟,扌,木,- 의,8
拢,扌,木,- 롱,8
拣,扌,木,- 간,8
拥,扌,木,- 옹,8
拦,扌,木,- 란,8
拧,扌,木,- 녕,8
拨,扌,木,다스릴 발,8
择,扌,木,- 택,8
括,扌,木,묶을 괄,9
拭,扌,木,씻을 식,9
拮,扌,木,일할 길,9
拯,扌,木,건질 증,9
拱,扌,木,팔짱낄 공,9
拳,手,木,주먹 권,10
拴,扌,木,- 전,9
拶,扌,木,핍박할 찰,9
拷,扌,木,칠 고,9
拼,扌,木,좇을 평,9
拽,扌,木,당길 예,9
拾,扌,木,주울 습,9
拿,手,木,잡을[拏同] 나,10
持,扌,木,가질 지,9
挂,扌,木,그림족자 괘,9
指,扌,木,가리킬 지,9
挈,手,木,끌 설,10
按,扌,木,누를 안,9
挎,扌,木,- 고,9
挑,扌,木,돋울 도,9
挖,扌,木,- 알,9
挚,手,木,- 지,10
挛,手,木,- 련,10
挝,扌,木,- 과,9
挞,扌,木,- 달,9
挟,扌,木,- 협,9
挠,扌,木,- 요,9
挡,扌,木,- 당,9
挢,扌,木,- 교,9
挣,扌,木,- 쟁,9
挤,扌,木,- 제,9
挥,扌,木,- 혼,9
挨,扌,木,밀칠 애,10
挪,扌,木,옮길 나,10
挫,扌,木,꺾을 좌,10
振,扌,木,떨칠 진,11
挲,手,木,- 사,11
挹,扌,木,뜰 읍,10
挺,扌,木,빼어날 정,10
挽,扌,木,당길 만,10
挾,扌,木,낄 협,10
捂,扌,木,부닥칠 오,10
捃,扌,木,주울 군,10
捅,扌,木,- 통,10
捆,扌,木,두드릴 곤,10
捉,扌,木,잡을 착,10
捋,扌,木,뽑을 랄,10
捌,扌,木,깨뜨릴 팔,10
捍,扌,木,막을 한,10
捎,扌,木,덜 소,10
捏,扌,木,꾸밀 날,10
捐,扌,木,버릴 연,10
捕,扌,木,잡을 포,10
捞,扌,木,- 로,10
损,扌,木,- 손,10
捡,扌,木,- 검,10
换,扌,木,바꿀 환,10
捣,扌,木,- 도,10
捧,扌,木,받들 봉,11
捨,扌,木,버릴 사,11
捩,扌,木,비틀 렬,11
捫,扌,木,어루만질 문,11
捭,扌,木,- 패,11
据,扌,木,일할 거,11
捱,扌,木,막을 애,11
捲,扌,木,거둘 권,11
捶,扌,木,종아리 칠 추,12
捷,扌,木,빠를 첩,11
捺,扌,木,누를 날,11
捻,扌,木,비틀 념,11
掀,扌,木,치켜들 흔,11
掂,扌,木,- 점,11
掃,扌,木,쓸[掃除] 소,11
掄,扌,木,가릴 륜,11
掇,扌,木,주울 철,11
授,扌,木,줄 수,11
掉,扌,木,흔들 도,11
掊,扌,木,헤칠 부,11
掌,手,木,손바닥 장,12
掎,扌,木,당길 기,11
掏,扌,木,가릴(선택)할 도,11
掐,扌,木,- 겹,11
排,扌,木,밀칠 배,11
掖,扌,木,낄 액,11
掘,扌,木,팔 굴,11
掙,扌,木,- 쟁,11
掛,扌,木,걸[懸] 괘,11
掠,扌,木,노략질할 략,11
採,扌,木,캘 채,11
探,扌,木,찾을 탐,11
掣,手,木,끌 체,12
接,扌,木,이을 접,11
控,扌,木,당길 공,11
推,扌,木,밀 추,11
掩,扌,木,가릴 엄,11
措,扌,木,둘[置] 조,11
掬,扌,木,두 손으로 움킬 국,11
掭,扌,木,- 첨,11
掮,扌,木,- 견,11
掰,手,木,- 배,12
掱,手,木,- 수,12
掳,扌,木,- 로,11
掴,扌,木,- 괵,11
掷,扌,木,- 척,12
掸,扌,木,- 탄,11
掺,扌,木,- 섬,11
掼,扌,木,- 관,11
掾,扌,木,아전 연,12
揀,扌,木,가릴 간,12
揄,扌,木,야유할 유,12
揆,扌,木,헤아릴 규,12
揉,扌,木,휠 유,12
揍,扌,木,- 주,12
揎,扌,木,- 선,12
描,扌,木,그릴 묘,12
提,扌,木,끌 제,12
插,扌,木,꽂을 삽,12
揖,扌,木,읍할 읍,12
揚,扌,木,날릴 양,12
換,扌,木,바꿀 환,12
揞,扌,木,- 암,12
揠,扌,木,뽑을 알,12
握,扌,木,쥘 악,12
揣,扌,木,헤아릴 췌,12
揩,扌,木,문지를 개,12
揪,扌,木,- 추,12
揭,扌,木,높이들[擧] 게,12
揮,扌,木,휘두를 휘,12
揲,扌,木,셀 설,12
援,扌,木,도울 원,12
揶,扌,木,야유할 야,12
揸,扌,木,- 사,12
揽,扌,木,- 람,12
揿,扌,木,- 흠,12
搀,扌,木,- 참,12
搁,扌,木,- 각,12
搂,扌,木,- 루,12
搅,扌,木,- 교,12
搋,扌,木,- 체,13
搌,扌,木,- 전,13
損,扌,木,덜 손,13
搏,扌,木,두드릴 박,13
搐,扌,木,당길 휵,13
搒,扌,木,배저을 방,13
搓,扌,木,비빌 차,13
搔,扌,木,긁을 소,13
搖,扌,木,흔들 요,13
搗,扌,木,찧을 도,13
搛,扌,木,- 렴,13
搜,扌,木,찾을 수,12
搞,扌,木,- 고,13
搠,扌,木,- 삭,13
搡,扌,木,- 상,13
搦,扌,木,- 닉,13
搪,扌,木,당동할 당,13
搬,扌,木,옮길 반,13
搭,扌,木,탈[乘] 탑,13
搴,手,木,- 건,14
搶,扌,木,빼앗을 창,13
携,扌,木,이끌 휴,13
搽,扌,木,칠할 차,13
搿,手,木,- 격,14
摀,扌,木,- 오,13
摁,扌,木,- 은,13
摄,扌,木,- 섭,13
摅,扌,木,- 터,13
摆,扌,木,- 파,13
摇,扌,木,- 요,13
摈,扌,木,- 빈,13
摊,扌,木,- 탄,13
摑,扌,木,- 괵,14
摒,扌,木,제거할 병,12
摔,扌,木,- 솔,14
摘,扌,木,딸[手收] 적,14
摞,扌,木,- 라,14
摟,扌,木,안을 루,14
摧,扌,木,꺾을 최,14
摩,手,木,문지를 마,15
摭,扌,木,주울 척,14
摯,手,木,잡을 지,15
摳,扌,木,치마걷어들 구,14
摶,扌,木,- 단,14
摸,扌,木,더듬을 모,14
摹,手,木,모뜰 모,15
摺,扌,木,접을 접,14
摻,扌,木,섬섬할 섬,14
摽,扌,木,칠 표,14
撂,扌,木,- 략,14
撄,扌,木,- 영,14
撅,扌,木,옷걷을 궤,15
撇,扌,木,- 별,14
撈,扌,木,건질 로,15
撐,扌,木,버틸 탱,15
